Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 64.9408)	(2, 37.647999999999996)	(3, 38.833)	(4, 38.5141)	(5, 25.5663)	(6, 38.1911)	(7, 39.5428)	(8, 40.467)	(9, 60.603899999999996)	(10, 39.0974)	(11, 48.9142)	(12, 41.4205)	(13, 49.513400000000004)	(14, 51.101)	(15, 47.4934)	(16, 45.231300000000005)	(17, 43.2973)	(18, 43.2836)	(19, 44.1772)	(20, 44.7417)	(21, 44.6351)	(22, 44.8771)	(23, 44.9955)	(24, 44.812000000000005)	(25, 45.1423)	(26, 45.103500000000004)	(27, 44.9399)	(28, 45.1911)	(29, 45.1802)	(30, 44.9893)	(31, 45.102599999999995)	(32, 44.9948)	(33, 44.776500000000006)	(34, 44.9847)	(35, 45.1048)	(36, 44.860299999999995)	(37, 45.2558)	(38, 45.2353)	(39, 45.0582)	(40, 45.3227)	(41, 45.277)	(42, 45.1011)	(43, 45.264500000000005)	(44, 45.2677)	(45, 44.9246)	(46, 45.0741)	(47, 45.0264)	(48, 44.8237)	(49, 45.1218)	(50, 45.0948)	(51, 45.002900000000004)	(52, 45.2201)	(53, 45.238)	(54, 45.0137)	(55, 45.1273)	(56, 45.0985)	(57, 44.87)	(58, 45.0683)	(59, 45.120599999999996)	(60, 44.878)	(61, 45.1802)	(62, 45.1987)	(63, 44.980399999999996)	(64, 45.1413)	(65, 45.1002)	(66, 44.8828)	(67, 45.0662)	(68, 45.0901)	(69, 44.873400000000004)	(70, 45.1361)	(71, 45.0884)	(72, 44.8925)	(73, 45.1726)	(74, 45.1311)	(75, 44.986)	(76, 45.147999999999996)	(77, 45.0729)	(78, 44.860499999999995)	(79, 45.054899999999996)	(80, 45.0019)	(81, 44.8785)	(82, 45.083600000000004)	(83, 45.0381)	(84, 44.9096)	(85, 45.0961)	(86, 45.0822)	(87, 44.8936)	(88, 45.0076)	(89, 45.034800000000004)	(90, 44.800000000000004)	(91, 45.0114)	(92, 44.986599999999996)	(93, 44.812999999999995)	(94, 45.022400000000005)	(95, 45.3069)	(96, 44.9343)	(97, 45.381)	(98, 45.096599999999995)	(99, 45.237899999999996)	(100, 45.151)	(101, 45.5831)
SRR5936197	(1, 64.2692)	(2, 36.9035)	(3, 39.096199999999996)	(4, 38.9027)	(5, 26.4127)	(6, 38.8694)	(7, 40.123799999999996)	(8, 40.041199999999996)	(9, 58.930899999999994)	(10, 39.9302)	(11, 49.052099999999996)	(12, 41.7523)	(13, 49.5325)	(14, 50.92)	(15, 47.401700000000005)	(16, 45.1471)	(17, 43.073)	(18, 43.1579)	(19, 44.033699999999996)	(20, 44.4929)	(21, 44.4352)	(22, 44.696000000000005)	(23, 44.711800000000004)	(24, 44.571)	(25, 44.9601)	(26, 44.8352)	(27, 44.6901)	(28, 44.9997)	(29, 44.8752)	(30, 44.7733)	(31, 44.916)	(32, 44.7134)	(33, 44.523)	(34, 44.7818)	(35, 44.7824)	(36, 44.5429)	(37, 45.0134)	(38, 44.9332)	(39, 44.804300000000005)	(40, 45.108)	(41, 44.9297)	(42, 44.8739)	(43, 45.036500000000004)	(44, 44.9005)	(45, 44.7027)	(46, 44.8281)	(47, 44.6905)	(48, 44.509100000000004)	(49, 44.8406)	(50, 44.7543)	(51, 44.718799999999995)	(52, 44.9631)	(53, 44.86)	(54, 44.7191)	(55, 44.897)	(56, 44.7615)	(57, 44.567299999999996)	(58, 44.8099)	(59, 44.7075)	(60, 44.6354)	(61, 44.9585)	(62, 44.795)	(63, 44.6879)	(64, 44.8894)	(65, 44.731)	(66, 44.568200000000004)	(67, 44.8335)	(68, 44.7305)	(69, 44.5577)	(70, 44.8621)	(71, 44.6785)	(72, 44.5861)	(73, 44.9015)	(74, 44.801)	(75, 44.6868)	(76, 44.8811)	(77, 44.7065)	(78, 44.5918)	(79, 44.7586)	(80, 44.6492)	(81, 44.4865)	(82, 44.7883)	(83, 44.6625)	(84, 44.5977)	(85, 44.817499999999995)	(86, 44.7025)	(87, 44.597300000000004)	(88, 44.7787)	(89, 44.656800000000004)	(90, 44.518)	(91, 44.7207)	(92, 44.6083)	(93, 44.5174)	(94, 44.7515)	(95, 44.975)	(96, 44.669799999999995)	(97, 45.1664)	(98, 44.7979)	(99, 44.9925)	(100, 44.9014)	(101, 45.120599999999996)
SRR5936221	(1, 65.2317)	(2, 37.6622)	(3, 39.2709)	(4, 38.8281)	(5, 26.148500000000002)	(6, 38.9385)	(7, 40.3425)	(8, 40.9254)	(9, 60.203399999999995)	(10, 39.3762)	(11, 49.5392)	(12, 41.707699999999996)	(13, 49.5832)	(14, 51.0625)	(15, 47.3063)	(16, 45.2063)	(17, 43.1901)	(18, 43.1192)	(19, 43.986999999999995)	(20, 44.5433)	(21, 44.3626)	(22, 44.7258)	(23, 44.7477)	(24, 44.575199999999995)	(25, 44.9446)	(26, 44.868900000000004)	(27, 44.723600000000005)	(28, 44.955099999999995)	(29, 44.9708)	(30, 44.752399999999994)	(31, 44.8494)	(32, 44.8303)	(33, 44.5215)	(34, 44.8224)	(35, 44.8267)	(36, 44.5916)	(37, 45.0321)	(38, 45.0267)	(39, 44.8623)	(40, 45.1374)	(41, 45.033)	(42, 44.8578)	(43, 45.014199999999995)	(44, 45.0099)	(45, 44.689499999999995)	(46, 44.8556)	(47, 44.8361)	(48, 44.5981)	(49, 44.875)	(50, 44.9586)	(51, 44.742)	(52, 44.9845)	(53, 44.9409)	(54, 44.6901)	(55, 44.8988)	(56, 44.9024)	(57, 44.6019)	(58, 44.8471)	(59, 44.8313)	(60, 44.648199999999996)	(61, 45.051)	(62, 44.954100000000004)	(63, 44.7758)	(64, 44.9289)	(65, 44.8966)	(66, 44.6485)	(67, 44.9044)	(68, 44.839600000000004)	(69, 44.6543)	(70, 44.8898)	(71, 44.8885)	(72, 44.6473)	(73, 44.989200000000004)	(74, 44.9558)	(75, 44.751400000000004)	(76, 44.9163)	(77, 44.839400000000005)	(78, 44.5839)	(79, 44.8471)	(80, 44.8083)	(81, 44.600699999999996)	(82, 44.8435)	(83, 44.8146)	(84, 44.6689)	(85, 44.893100000000004)	(86, 44.8643)	(87, 44.6502)	(88, 44.8545)	(89, 44.8172)	(90, 44.6042)	(91, 44.8066)	(92, 44.7553)	(93, 44.6188)	(94, 44.8563)	(95, 45.1525)	(96, 44.715500000000006)	(97, 45.2014)	(98, 44.9366)	(99, 45.0309)	(100, 44.960499999999996)	(101, 45.226499999999994)
SRR5946623	(1, 63.926899999999996)	(2, 36.920199999999994)	(3, 37.927699999999994)	(4, 37.4454)	(5, 25.0936)	(6, 37.358200000000004)	(7, 38.9799)	(8, 39.8834)	(9, 59.087999999999994)	(10, 38.589)	(11, 47.6772)	(12, 40.2944)	(13, 48.4503)	(14, 49.64)	(15, 46.2557)	(16, 44.0738)	(17, 42.08)	(18, 42.0317)	(19, 43.0062)	(20, 43.5155)	(21, 43.304700000000004)	(22, 43.758)	(23, 43.7128)	(24, 43.54)	(25, 44.0614)	(26, 43.8234)	(27, 43.665)	(28, 44.0377)	(29, 43.9606)	(30, 43.7604)	(31, 43.9653)	(32, 43.7804)	(33, 43.4953)	(34, 43.894)	(35, 43.8689)	(36, 43.609500000000004)	(37, 44.1436)	(38, 44.0048)	(39, 43.882)	(40, 44.1801)	(41, 44.0359)	(42, 43.8325)	(43, 44.1325)	(44, 44.0448)	(45, 43.6546)	(46, 43.9702)	(47, 43.8213)	(48, 43.6361)	(49, 44.061)	(50, 44.024)	(51, 43.847500000000004)	(52, 44.0895)	(53, 44.0021)	(54, 43.8268)	(55, 44.0903)	(56, 43.980799999999995)	(57, 43.6595)	(58, 43.994699999999995)	(59, 43.9526)	(60, 43.7934)	(61, 44.2376)	(62, 44.052)	(63, 43.8603)	(64, 44.0651)	(65, 44.080799999999996)	(66, 43.786)	(67, 44.048300000000005)	(68, 43.967600000000004)	(69, 43.778299999999994)	(70, 44.0771)	(71, 44.0305)	(72, 43.7994)	(73, 44.2089)	(74, 44.0252)	(75, 43.867200000000004)	(76, 44.076100000000004)	(77, 43.9696)	(78, 43.7007)	(79, 44.1031)	(80, 43.9794)	(81, 43.7282)	(82, 44.0528)	(83, 43.9447)	(84, 43.8185)	(85, 44.1193)	(86, 44.0299)	(87, 43.833800000000004)	(88, 44.0916)	(89, 43.993900000000004)	(90, 43.693799999999996)	(91, 44.0633)	(92, 43.9081)	(93, 43.7568)	(94, 44.1214)	(95, 44.3158)	(96, 43.8997)	(97, 44.562000000000005)	(98, 44.1848)	(99, 44.2756)	(100, 44.245000000000005)	(101, 44.7994)
SRR5946691	(1, 64.1306)	(2, 36.9492)	(3, 38.1543)	(4, 37.8042)	(5, 25.1741)	(6, 37.8772)	(7, 39.2889)	(8, 40.0658)	(9, 59.758500000000005)	(10, 38.6921)	(11, 48.7016)	(12, 41.0754)	(13, 49.0571)	(14, 50.6033)	(15, 46.9166)	(16, 44.594699999999996)	(17, 42.708400000000005)	(18, 42.6513)	(19, 43.500499999999995)	(20, 44.1496)	(21, 43.9512)	(22, 44.263999999999996)	(23, 44.385000000000005)	(24, 44.1667)	(25, 44.4848)	(26, 44.5139)	(27, 44.307900000000004)	(28, 44.5578)	(29, 44.5861)	(30, 44.3617)	(31, 44.440400000000004)	(32, 44.4446)	(33, 44.127)	(34, 44.352799999999995)	(35, 44.5248)	(36, 44.1918)	(37, 44.5995)	(38, 44.6616)	(39, 44.466499999999996)	(40, 44.7219)	(41, 44.6483)	(42, 44.4791)	(43, 44.612)	(44, 44.6743)	(45, 44.2674)	(46, 44.4641)	(47, 44.4423)	(48, 44.211600000000004)	(49, 44.4816)	(50, 44.5396)	(51, 44.3361)	(52, 44.5287)	(53, 44.5783)	(54, 44.3133)	(55, 44.4797)	(56, 44.497)	(57, 44.196999999999996)	(58, 44.393100000000004)	(59, 44.4772)	(60, 44.2429)	(61, 44.542500000000004)	(62, 44.5513)	(63, 44.329)	(64, 44.465900000000005)	(65, 44.5191)	(66, 44.243300000000005)	(67, 44.3816)	(68, 44.4776)	(69, 44.1824)	(70, 44.42)	(71, 44.433299999999996)	(72, 44.229)	(73, 44.4656)	(74, 44.487500000000004)	(75, 44.2989)	(76, 44.3911)	(77, 44.391999999999996)	(78, 44.1459)	(79, 44.3375)	(80, 44.3729)	(81, 44.0787)	(82, 44.3386)	(83, 44.3686)	(84, 44.1786)	(85, 44.3538)	(86, 44.3849)	(87, 44.121300000000005)	(88, 44.3125)	(89, 44.343700000000005)	(90, 44.0853)	(91, 44.2887)	(92, 44.3118)	(93, 44.0998)	(94, 44.2863)	(95, 44.636700000000005)	(96, 44.1796)	(97, 44.6193)	(98, 44.4289)	(99, 44.4983)	(100, 44.3146)	(101, 44.7573)
SRR5946876	(1, 65.96940000000001)	(2, 38.9905)	(3, 40.4489)	(4, 40.601)	(5, 27.9999)	(6, 40.9213)	(7, 42.5352)	(8, 42.5734)	(9, 60.590900000000005)	(10, 41.058699999999995)	(11, 50.727199999999996)	(12, 43.487500000000004)	(13, 50.931599999999996)	(14, 52.2763)	(15, 48.6155)	(16, 46.665099999999995)	(17, 44.7915)	(18, 44.6713)	(19, 45.732099999999996)	(20, 46.1284)	(21, 45.939099999999996)	(22, 46.455600000000004)	(23, 46.3553)	(24, 46.1625)	(25, 46.6635)	(26, 46.4455)	(27, 46.252500000000005)	(28, 46.6905)	(29, 46.5262)	(30, 46.2925)	(31, 46.6483)	(32, 46.4182)	(33, 46.1241)	(34, 46.5409)	(35, 46.4865)	(36, 46.219500000000004)	(37, 46.6944)	(38, 46.5903)	(39, 46.3662)	(40, 46.785399999999996)	(41, 46.5806)	(42, 46.3834)	(43, 46.7729)	(44, 46.6139)	(45, 46.3093)	(46, 46.598099999999995)	(47, 46.3871)	(48, 46.0965)	(49, 46.5586)	(50, 46.5079)	(51, 46.2698)	(52, 46.659)	(53, 46.5048)	(54, 46.2542)	(55, 46.6155)	(56, 46.3972)	(57, 46.12)	(58, 46.5227)	(59, 46.4182)	(60, 46.1507)	(61, 46.593)	(62, 46.4112)	(63, 46.2016)	(64, 46.543099999999995)	(65, 46.3611)	(66, 46.1019)	(67, 46.4503)	(68, 46.3095)	(69, 46.0693)	(70, 46.4063)	(71, 46.3143)	(72, 46.0073)	(73, 46.442)	(74, 46.3335)	(75, 46.0652)	(76, 46.433099999999996)	(77, 46.2368)	(78, 46.0017)	(79, 46.3621)	(80, 46.1411)	(81, 45.928799999999995)	(82, 46.3118)	(83, 46.117799999999995)	(84, 45.905499999999996)	(85, 46.278000000000006)	(86, 46.1352)	(87, 45.9162)	(88, 46.2615)	(89, 46.1128)	(90, 45.8649)	(91, 46.1861)	(92, 45.9867)	(93, 45.8145)	(94, 46.1922)	(95, 46.3831)	(96, 45.8893)	(97, 46.576299999999996)	(98, 46.1436)	(99, 46.2111)	(100, 46.2293)	(101, 46.8432)
SRR5946902	(1, 64.64410000000001)	(2, 37.4765)	(3, 39.7438)	(4, 39.4038)	(5, 27.125799999999998)	(6, 39.3741)	(7, 40.7585)	(8, 40.775)	(9, 59.1499)	(10, 40.6503)	(11, 49.406)	(12, 42.125800000000005)	(13, 49.7539)	(14, 51.10940000000001)	(15, 47.7399)	(16, 45.4801)	(17, 43.4969)	(18, 43.5475)	(19, 44.4076)	(20, 44.8545)	(21, 44.7458)	(22, 45.0922)	(23, 45.080999999999996)	(24, 44.9548)	(25, 45.3699)	(26, 45.216899999999995)	(27, 45.0619)	(28, 45.3953)	(29, 45.2263)	(30, 45.116)	(31, 45.2772)	(32, 45.0714)	(33, 44.8452)	(34, 45.176)	(35, 45.1125)	(36, 44.9438)	(37, 45.360099999999996)	(38, 45.2618)	(39, 45.1615)	(40, 45.4748)	(41, 45.3143)	(42, 45.2748)	(43, 45.4032)	(44, 45.2487)	(45, 45.0086)	(46, 45.2102)	(47, 45.0642)	(48, 44.891999999999996)	(49, 45.210899999999995)	(50, 45.0865)	(51, 45.0407)	(52, 45.3563)	(53, 45.2249)	(54, 45.0693)	(55, 45.2344)	(56, 45.0931)	(57, 44.952799999999996)	(58, 45.2062)	(59, 45.082100000000004)	(60, 44.9841)	(61, 45.3214)	(62, 45.2063)	(63, 45.0333)	(64, 45.272800000000004)	(65, 45.1259)	(66, 44.9315)	(67, 45.205600000000004)	(68, 45.0863)	(69, 44.931)	(70, 45.2468)	(71, 45.073800000000006)	(72, 44.9554)	(73, 45.3238)	(74, 45.1507)	(75, 45.0407)	(76, 45.2771)	(77, 45.050200000000004)	(78, 44.9625)	(79, 45.190799999999996)	(80, 44.9894)	(81, 44.9332)	(82, 45.228699999999996)	(83, 45.040400000000005)	(84, 44.9612)	(85, 45.2132)	(86, 45.0992)	(87, 44.9891)	(88, 45.2585)	(89, 45.042100000000005)	(90, 44.8841)	(91, 45.168)	(92, 45.0194)	(93, 44.9332)	(94, 45.177099999999996)	(95, 45.4822)	(96, 45.071099999999994)	(97, 45.6313)	(98, 45.2237)	(99, 45.466699999999996)	(100, 45.3303)	(101, 45.697700000000005)
SRR5946910	(1, 65.2835)	(2, 37.4154)	(3, 38.815)	(4, 38.479600000000005)	(5, 25.4873)	(6, 38.406400000000005)	(7, 39.6455)	(8, 40.281099999999995)	(9, 60.492599999999996)	(10, 38.8854)	(11, 49.4098)	(12, 41.4592)	(13, 49.6167)	(14, 51.22259999999999)	(15, 47.4634)	(16, 45.2581)	(17, 43.2705)	(18, 43.196)	(19, 44.073299999999996)	(20, 44.6753)	(21, 44.5326)	(22, 44.8078)	(23, 44.9208)	(24, 44.6995)	(25, 45.029799999999994)	(26, 45.0378)	(27, 44.8446)	(28, 45.0933)	(29, 45.124900000000004)	(30, 44.8643)	(31, 44.9581)	(32, 44.9365)	(33, 44.6313)	(34, 44.8844)	(35, 45.0338)	(36, 44.724599999999995)	(37, 45.147999999999996)	(38, 45.1455)	(39, 44.9608)	(40, 45.224199999999996)	(41, 45.185900000000004)	(42, 44.9672)	(43, 45.1037)	(44, 45.1514)	(45, 44.763999999999996)	(46, 44.9591)	(47, 44.964)	(48, 44.72)	(49, 44.992599999999996)	(50, 45.049499999999995)	(51, 44.8411)	(52, 45.048700000000004)	(53, 45.0989)	(54, 44.7994)	(55, 44.9913)	(56, 44.9944)	(57, 44.6656)	(58, 44.918200000000006)	(59, 44.9652)	(60, 44.7487)	(61, 45.0477)	(62, 45.0569)	(63, 44.8342)	(64, 44.9756)	(65, 45.001200000000004)	(66, 44.7318)	(67, 44.893)	(68, 44.952799999999996)	(69, 44.6416)	(70, 44.8991)	(71, 44.9277)	(72, 44.6995)	(73, 44.932100000000005)	(74, 44.967400000000005)	(75, 44.7655)	(76, 44.885000000000005)	(77, 44.8574)	(78, 44.6118)	(79, 44.8548)	(80, 44.8287)	(81, 44.6003)	(82, 44.8382)	(83, 44.8581)	(84, 44.6607)	(85, 44.808)	(86, 44.8371)	(87, 44.588100000000004)	(88, 44.7875)	(89, 44.8445)	(90, 44.5242)	(91, 44.7153)	(92, 44.7718)	(93, 44.5581)	(94, 44.762800000000006)	(95, 45.082100000000004)	(96, 44.6335)	(97, 45.0469)	(98, 44.8901)	(99, 44.9383)	(100, 44.8205)	(101, 45.3119)
SRR5946975	(1, 65.0887)	(2, 38.0367)	(3, 39.5961)	(4, 38.8345)	(5, 26.3456)	(6, 39.0054)	(7, 40.609)	(8, 41.3652)	(9, 60.417)	(10, 40.0396)	(11, 49.709599999999995)	(12, 42.181200000000004)	(13, 50.1154)	(14, 51.5794)	(15, 48.1542)	(16, 45.8771)	(17, 43.938100000000006)	(18, 43.8637)	(19, 44.8378)	(20, 45.3478)	(21, 45.2115)	(22, 45.5993)	(23, 45.5916)	(24, 45.435700000000004)	(25, 45.83)	(26, 45.7663)	(27, 45.6019)	(28, 45.8746)	(29, 45.9051)	(30, 45.686)	(31, 45.8542)	(32, 45.7444)	(33, 45.4574)	(34, 45.7613)	(35, 45.7729)	(36, 45.4919)	(37, 45.9522)	(38, 45.9469)	(39, 45.7882)	(40, 46.0574)	(41, 45.998400000000004)	(42, 45.783)	(43, 45.9845)	(44, 45.929700000000004)	(45, 45.6314)	(46, 45.8598)	(47, 45.813500000000005)	(48, 45.6102)	(49, 45.940599999999996)	(50, 45.8914)	(51, 45.765299999999996)	(52, 46.010400000000004)	(53, 45.971000000000004)	(54, 45.7266)	(55, 45.9196)	(56, 45.860299999999995)	(57, 45.646300000000004)	(58, 45.9259)	(59, 45.8971)	(60, 45.7001)	(61, 46.0367)	(62, 45.953300000000006)	(63, 45.789699999999996)	(64, 46.0062)	(65, 45.9293)	(66, 45.6817)	(67, 45.9313)	(68, 45.8966)	(69, 45.6758)	(70, 45.9416)	(71, 45.9212)	(72, 45.7829)	(73, 46.064)	(74, 45.994099999999996)	(75, 45.7944)	(76, 45.9641)	(77, 45.9342)	(78, 45.6856)	(79, 45.9393)	(80, 45.874500000000005)	(81, 45.6936)	(82, 45.9491)	(83, 45.8629)	(84, 45.704699999999995)	(85, 45.9772)	(86, 45.9287)	(87, 45.7399)	(88, 46.0013)	(89, 45.9133)	(90, 45.6871)	(91, 45.9436)	(92, 45.8515)	(93, 45.7465)	(94, 45.9458)	(95, 46.176)	(96, 45.841100000000004)	(97, 46.2988)	(98, 46.0413)	(99, 46.0848)	(100, 46.0313)	(101, 46.7752)
SRR5946993	(1, 66.824)	(2, 40.149699999999996)	(3, 42.8001)	(4, 42.1946)	(5, 28.8419)	(6, 41.9739)	(7, 43.7098)	(8, 43.3637)	(9, 62.4688)	(10, 42.9576)	(11, 52.817099999999996)	(12, 45.1527)	(13, 53.4074)	(14, 54.5745)	(15, 51.42)	(16, 48.9947)	(17, 46.8298)	(18, 47.0405)	(19, 48.070800000000006)	(20, 48.2064)	(21, 48.326)	(22, 48.680800000000005)	(23, 48.444199999999995)	(24, 48.5022)	(25, 48.922399999999996)	(26, 48.5771)	(27, 48.673)	(28, 49.0238)	(29, 48.6417)	(30, 48.6815)	(31, 48.931799999999996)	(32, 48.5063)	(33, 48.4518)	(34, 48.7883)	(35, 48.5357)	(36, 48.5174)	(37, 49.038)	(38, 48.7211)	(39, 48.7701)	(40, 49.0986)	(41, 48.7239)	(42, 48.7429)	(43, 49.011900000000004)	(44, 48.6687)	(45, 48.5921)	(46, 48.8252)	(47, 48.477199999999996)	(48, 48.5001)	(49, 48.9081)	(50, 48.598200000000006)	(51, 48.687599999999996)	(52, 49.006)	(53, 48.6846)	(54, 48.6066)	(55, 48.8591)	(56, 48.4993)	(57, 48.5017)	(58, 48.8541)	(59, 48.510999999999996)	(60, 48.5723)	(61, 48.9359)	(62, 48.619099999999996)	(63, 48.6521)	(64, 48.92)	(65, 48.5498)	(66, 48.5231)	(67, 48.8007)	(68, 48.4667)	(69, 48.4687)	(70, 48.8147)	(71, 48.4833)	(72, 48.5142)	(73, 48.899300000000004)	(74, 48.5693)	(75, 48.5666)	(76, 48.8051)	(77, 48.4116)	(78, 48.477199999999996)	(79, 48.757099999999994)	(80, 48.4145)	(81, 48.398)	(82, 48.7856)	(83, 48.428399999999996)	(84, 48.4955)	(85, 48.7984)	(86, 48.4153)	(87, 48.4529)	(88, 48.7267)	(89, 48.4159)	(90, 48.366)	(91, 48.6518)	(92, 48.3473)	(93, 48.3435)	(94, 48.6852)	(95, 48.5728)	(96, 48.4357)	(97, 48.964)	(98, 48.3601)	(99, 48.667899999999996)	(100, 48.667899999999996)	(101, 49.474000000000004)
