Pathway,P_Omnibus_Kruskal,P_NonIBD_vs_CD,P_NonIBD_vs_UC,Mean_NonIBD,Mean_CD,Mean_UC,FDR_Omnibus,FDR_CD,FDR_UC,Status
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",0.00138771775767729,0.000491892457342966,0.00535221788965379,18.8742921066667,36.2108578476821,25.2506250656168,0.00257836317106904,0.00117903993592131,0.0169757213873868,Enriched_in_UC
PWY-5505: L-glutamate and L-glutamine biosynthesis,1.64270016466679e-14,1.44807564495183e-15,0.00646406298244344,63.7059317066667,43.9363577317881,59.1006028346457,2.45622786526367e-13,2.84184845321796e-14,0.0202971577648724,Depleted_in_UC
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,0.000650623156987023,0.000186203328074713,0.00701693265591076,104.87298424,123.438015413907,116.549942125984,0.00137111188787869,0.000522034330495177,0.0218150183559998,Enriched_in_UC
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,4.16319438192711e-07,0.0137740303908504,0.00711103073001628,72.2242819733333,80.4799506456954,63.514335328084,1.86749005132159e-06,0.0226442175011887,0.0218908200904423,Depleted_in_UC
PWY-5989: stearate biosynthesis II (bacteria and plants),0.000282067532169999,7.39836606822812e-05,0.00718164346011429,85.74316176,107.189960480132,96.0578605774278,0.000681301577702921,0.000237049688308534,0.0218935538492804,Enriched_in_UC
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,0.000683588862491531,0.000197895535957595,0.00743472002644861,94.11645416,112.88209968543,104.576507375328,0.00143097935214894,0.000545080686760394,0.0224471354644698,Enriched_in_UC
PWY-6606: guanosine nucleotides degradation II,0.00149400635889043,0.000437363606942862,0.00757308812210199,33.38844208,51.5683916721854,40.0313038110236,0.00274338009761168,0.00107290759828171,0.0224863439906953,Enriched_in_UC
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes),0.00364404405856888,0.812441413235172,0.00759093141087165,305.294438666667,301.084060761589,316.350059317585,0.00628697711203643,0.847624324455754,0.0224863439906953,Enriched_in_UC
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,2.46462465854797e-08,2.32300086654822e-09,0.00823950233519045,443.500509333333,416.25777615894,420.86365328084,1.31168159793909e-07,1.87031351819523e-08,0.0241794741425215,Depleted_in_UC
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),0.00427033236687421,0.00184336865050408,0.00837815427972504,219.544456,206.50748294702,206.860595905512,0.00724802358485677,0.00375855685882001,0.0243587078132746,Depleted_in_UC
FASYN-ELONG-PWY: fatty acid elongation -- saturated,0.000437241668039261,0.00011203391368063,0.00949459699644537,103.705663413333,127.354205099338,115.19108328084,0.000980670598316627,0.000341540280540949,0.0273514078613197,Enriched_in_UC
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),0.000398373562757066,0.000101734418091011,0.00968484759091241,86.23756568,108.432735629139,96.3099954855643,0.000932315978266485,0.000322672800813914,0.0276458376686045,Enriched_in_UC
PWY0-862: (5Z)-dodec-5-enoate biosynthesis,0.000425903931756132,0.000108668765577699,0.00987553451170446,86.2367917333333,108.102783129139,96.058928687664,0.00096211391778004,0.000334529337170564,0.0279361967268036,Enriched_in_UC
PWY-622: starch biosynthesis,0.0405040075460967,0.175928559186353,0.0105844715572386,5.41703698666667,6.42818364238411,3.09687443569554,0.055781834953835,0.217486486553208,0.0296566757736885,Depleted_in_UC
PWY-6527: stachyose degradation,0.00254666209203789,0.000802978399465345,0.0107670733700652,162.06516536,142.091383940397,142.438418897638,0.00449242638707807,0.00180096583880085,0.0296566757736885,Depleted_in_UC
PWY-7664: oleate biosynthesis IV (anaerobic),0.000449372891986097,0.000113159348408644,0.0107649030643436,95.3355833866667,118.167866109272,105.858816036745,0.00100073112116053,0.000341654186541484,0.0296566757736885,Enriched_in_UC
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),0.000201894949754846,4.68295867555446e-05,0.0110774696962516,78.31295648,100.302510546358,87.6865420209974,0.000503135033516046,0.000167096480014102,0.0302463085619391,Enriched_in_UC
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),9.80004346637445e-05,2.23911919602296e-05,0.011684958139708,458.234189333333,427.96614884106,430.652689238845,0.000290430191647967,8.74833768047444e-05,0.0316299728954166,Depleted_in_UC
TRPSYN-PWY: L-tryptophan biosynthesis,4.58565279547716e-05,3.33639660904807e-06,0.0142759715440375,196.906269333333,178.365912748344,185.657408661417,0.000149989060185399,1.63691958631421e-05,0.0383132911523741,Depleted_in_UC
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0.0175003890870369,0.0109002514597775,0.0147520421891426,302.652605333333,318.314644205298,316.389750656168,0.0251047506046822,0.018303096034065,0.0392554342999218,Enriched_in_UC
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.0144792171993899,0.00681755765507385,0.0155196217946938,17.406274,21.6575132450331,20.2549686614173,0.0214456330217378,0.0118928505760733,0.0409509348196121,Enriched_in_UC
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,0.00726367042901204,0.00240873815064115,0.0158524737799512,58.8557565066667,68.0772304470199,73.890957664042,0.0117566624469576,0.00478698594494508,0.0414806397242056,Enriched_in_UC
PWY-6703: preQ0 biosynthesis,0.0171499158759588,0.00911451223440088,0.0161603890860455,329.1987576,304.500225993377,303.881300262467,0.0248263529397445,0.0157250375912191,0.041936877462961,Depleted_in_UC
PWY-5913: TCA cycle VI (obligate autotrophs),0.00447714871837993,0.00138029692937655,0.0176902897576023,15.2140178693333,31.7848074006623,21.9673764041995,0.00755819729877042,0.00292023645397079,0.0455307457695665,Enriched_in_UC
"PWY-7237: myo-, chiro- and scillo-inositol degradation",0.0316555803113124,0.872157419613578,0.0185735417402635,118.418260266667,130.058253311258,155.009158530184,0.0441771209677871,0.897893212323486,0.0474153829792094,Enriched_in_UC
PWYG-321: mycolate biosynthesis,0.00183943395256347,0.000504153323004508,0.0192448408345356,97.7792050133333,119.344238807947,106.947900524934,0.00333862578673369,0.00119927381381375,0.048732903403582,Enriched_in_UC
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,6.26085540005963e-05,1.43508265516905e-05,0.0197454005158747,322.927256266667,359.820954966887,332.437533070866,0.000198576625820073,5.8521552431569e-05,0.0488193367085405,Enriched_in_UC
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,6.26085540005963e-05,1.43508265516905e-05,0.0197454005158747,322.927256266667,359.820954966887,332.437533070866,0.000198576625820073,5.8521552431569e-05,0.0488193367085405,Enriched_in_UC
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,0.0235802566944653,0.0162352812783574,0.0195092775592634,304.414540266667,314.235075827815,313.290269816273,0.0333522549642438,0.0262777233062074,0.0488193367085405,Enriched_in_UC
