#mpa_v30_CHOCOPhlAn_201901
#/shares/CIBIO-Storage/CM/scratch/users/paolo.manghi/anaconda3/envs/mpa/bin/metaphlan --nproc 4 --input_type fastq --bowtie2db /shares/CIBIO-Storage/CM/news/users/francesco.beghini/hg/chocophlan/export_201901/metaphlan2/mpa_v30_CHOCOPhlAn_201901 --index mpa_v30_CHOCOPhlAn_201901 --force --bowtie2_exe /shares/CIBIO-Storage/CM/news/users/francesco.beghini/bowtie2-2.3.4.3-linux-x86_64/bowtie2 --bowtie2out /shares/CIBIO-Storage/CM/scratch/data/meta/HMP_2019_ibdmdb/metaphlan-3.0_v30_CHOCOPhlAn_201901/MSM6J2RQ/MSM6J2RQ.bowtie2.bz2 --samout /shares/CIBIO-Storage/CM/scratch/data/meta/HMP_2019_ibdmdb/metaphlan-3.0_v30_CHOCOPhlAn_201901/MSM6J2RQ/MSM6J2RQ.sam.bz2 -o /shares/CIBIO-Storage/CM/mir/data/meta/HMP_2019_ibdmdb/metaphlan-3.0_v30_CHOCOPhlAn_201901//MSM6J2RQ_profile.tsv
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance
k__Bacteria	2	99.96409	
k__Archaea	2157	0.03591	
k__Bacteria|p__Bacteroidetes	2|976	79.25469	
k__Bacteria|p__Firmicutes	2|1239	20.60656	
k__Bacteria|p__Proteobacteria	2|1224	0.06074	
k__Bacteria|p__Actinobacteria	2|201174	0.0421	
k__Archaea|p__Euryarchaeota	2157|28890	0.03591	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	79.25469	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	19.45826	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.57049	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified		0.55553	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06074	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.0421	
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	2157|28890|183967	0.03591	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.02229	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	79.25469	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	19.45826	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified		0.55553	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.5438	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.06074	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.0421	
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|28890|183967|1235850	0.03591	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.02668	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.02229	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	42.29488	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	19.5296	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.67721	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	6.87005	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	5.98792	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	5.31532	
