pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig
NonIBD vs CD,1,3.2009707354670134,11.001954848194893,0.008007233766570903,0.001,0.001,**
NonIBD vs UC,1,1.5449545663047994,5.492058655612275,0.005424298006746477,0.001,0.001,**
CD vs UC,1,1.4024055973079734,4.683260705601916,0.0055840636447921825,0.001,0.001,**
